Time,Track Points,Position,Angle,Velocity,Angular Velocity
1742176492.334978,"{'yellow': (92, 44), 'red': (80, 80)}","[178, 406]",1.892546881191539,[158.60211359  19.34401496],-2.1242565433545653
1742176492.399516,"{'yellow': (84, 44), 'red': (87, 81)}","[186, 406]",1.489892227639666,[159.54961801  12.75947832],-3.9456500270358483
1742176492.4533384,"{'yellow': (83, 45), 'red': (83, 82)}","[192, 407]",1.5707963267948966,[160.67606954  15.52429361],-3.1025954350459424
1742176492.518641,"{'yellow': (79, 47), 'red': (79, 81)}","[194, 409]",1.5707963267948966,[123.21337422  23.11875235],-1.850266368492345
1742176492.5829961,"{'yellow': (83, 45), 'red': (81, 80)}","[199, 409]",1.6278771092011612,[111.51297316  18.94076571],-1.0081740648255966
1742176492.634475,"{'yellow': (80, 45), 'red': (79, 81)}","[201, 410]",1.5985669633883177,[101.63846257  19.09215076],-0.7645841120440182
1742176492.6987987,"{'yellow': (81, 45), 'red': (81, 81)}","[205, 411]",1.5707963267948966,[91.67389853 19.72263288],-0.7183060034843837
1742176492.763524,"{'yellow': (82, 44), 'red': (82, 80)}","[210, 411]",1.5707963267948966,[93.66138432 14.34914894],-0.4863658192667052
1742176492.8175747,"{'yellow': (79, 46), 'red': (79, 81)}","[212, 412]",1.5707963267948966,[85.53692588 15.68919111],-0.270446795255053
1742176492.8821375,"{'yellow': (78, 43), 'red': (81, 80)}","[214, 411]",1.489892227639666,[67.54312562  6.69679403],-0.5553462288040336
1742176492.9355357,"{'yellow': (79, 45), 'red': (83, 81)}","[218, 412]",1.460139105621001,[73.11829397  8.21151386],-0.6729007192839696
1742176492.9997346,"{'yellow': (80, 45), 'red': (81, 80)}","[221, 412]",1.5422326689561365,[70.55491786  7.21893975],-0.03162442083848546
1742176493.0543647,"{'yellow': (80, 45), 'red': (80, 81)}","[224, 413]",1.5707963267948966,[71.95801817 10.33817165],0.31189056941973775
1742176493.1180441,"{'yellow': (81, 43), 'red': (80, 80)}","[227, 412]",1.5978167759821613,[67.91048612  2.82551814],0.3555307856390929
1742176493.181807,"{'yellow': (79, 46), 'red': (79, 82)}","[229, 414]",1.5707963267948966,[60.76376809 10.60067656],0.13781546257485183
1742176493.2357647,"{'yellow': (82, 44), 'red': (80, 80)}","[233, 414]",1.6262948320406134,[69.25252619 11.77838597],0.3784319089490721
1742176493.299642,"{'yellow': (80, 42), 'red': (78, 79)}","[235, 412]",1.624797827170865,[62.20986063 -3.94403045],0.35619697584017795
1742176493.3626235,"{'yellow': (84, 44), 'red': (78, 82)}","[239, 413]",1.727398203776912,[66.37000122 -0.68384432],0.7993536345997415
1742176493.41837,"{'yellow': (78, 43), 'red': (76, 81)}","[239, 413]",1.6233793884058383,[53.85065136  2.22358396],0.1762498601560133
1742176493.4821637,"{'yellow': (82, 43), 'red': (78, 82)}","[242, 413]",1.6730030449021502,[50.83034696  0.82593466],0.18799804184549151
1742176493.5369205,"{'yellow': (78, 45), 'red': (76, 82)}","[242, 414]",1.624797827170865,[41.62866448  6.3779626 ],-0.03714996034253207
1742176493.5987587,"{'yellow': (79, 46), 'red': (78, 81)}","[243, 415]",1.5993599846336566,[31.90349471 11.17646155],-0.2646278962824026
1742176493.6645339,"{'yellow': (82, 45), 'red': (78, 81)}","[246, 416]",1.6814535479687922,[39.10068422 14.42662558],0.23249017493732635
1742176493.7139094,"{'yellow': (83, 43), 'red': (77, 81)}","[249, 416]",1.727398203776912,[51.68661526 12.11947238],0.6244851415734289
1742176493.7794185,"{'yellow': (81, 45), 'red': (76, 80)}","[250, 416]",1.7126933813990606,[42.6304135   8.06751885],0.34836754064727876
1742176493.8468564,"{'yellow': (83, 44), 'red': (78, 80)}","[253, 416]",1.7088023504524161,[45.12110304  5.89545021],0.17035238037158312
1742176493.905366,"{'yellow': (81, 42), 'red': (76, 81)}","[254, 415]",1.698305885010135,[42.19087948 -1.62280867],0.05660124496893896
1742176493.9633656,"{'yellow': (82, 46), 'red': (76, 82)}","[256, 417]",1.7359450042095235,[41.89859912  8.57251005],0.26229945391772697
1742176494.031068,"{'yellow': (82, 44), 'red': (76, 80)}","[258, 417]",1.7359450042095235,[40.94905062  8.8218258 ],0.23323967414604907
1742176494.0841467,"{'yellow': (81, 46), 'red': (75, 80)}","[259, 418]",1.7454685258031364,[38.07975723 11.0505987 ],0.21417876673899527
1742176494.1382542,"{'yellow': (82, 43), 'red': (75, 80)}","[260, 417]",1.7577755967138078,[33.69953856  3.51995005],0.2363926418187935
1742176494.2057664,"{'yellow': (80, 44), 'red': (75, 81)}","[260, 417]",1.7051177687478651,[22.92441173  0.45656949],-0.12993059545421629
1742176494.2627654,"{'yellow': (83, 45), 'red': (77, 82)}","[263, 418]",1.7315590674207313,[32.63907901  6.49921652],-0.04912963348857424
1742176494.3183417,"{'yellow': (82, 45), 'red': (76, 80)}","[265, 418]",1.740574600763235,[40.07598005  6.51278201],0.09339515554332431
1742176494.384277,"{'yellow': (83, 44), 'red': (74, 81)}","[266, 418]",1.8094056493030977,[33.19215104  3.88556814],0.43513903800094156
1742176494.438789,"{'yellow': (84, 43), 'red': (75, 81)}","[268, 418]",1.8033532685998057,[36.78365489  2.68961812],0.41142369094159703
1742176494.5045502,"{'yellow': (82, 43), 'red': (74, 81)}","[269, 418]",1.7782925532300993,[32.40340486  1.49527578],0.09319602256982232
1742176494.5595324,"{'yellow': (80, 45), 'red': (74, 81)}","[269, 419]",1.7359450042095235,[24.09186682  6.87062433],-0.2254687295255751
1742176494.6279926,"{'yellow': (82, 44), 'red': (75, 81)}","[270, 419]",1.7577755967138078,[21.22517537  6.02602961],-0.07875581697745447
1742176494.6830602,"{'yellow': (84, 44), 'red': (75, 81)}","[272, 419]",1.8094056493030977,[28.37118185  4.11546325],0.3000445868761841
1742176494.7376184,"{'yellow': (83, 46), 'red': (75, 81)}","[274, 420]",1.7955074952095393,[35.06039523  8.83649912],0.21814296493392105
1742176494.8016195,"{'yellow': (83, 45), 'red': (73, 81)}","[275, 421]",1.8417431771333173,[30.48525712 12.87132551],0.34396145952911095
1742176494.8681943,"{'yellow': (84, 43), 'red': (73, 80)}","[276, 420]",1.859771736787463,[26.62667108  4.74483016],0.4008082982722234
1742176494.9237666,"{'yellow': (83, 46), 'red': (74, 81)}","[277, 421]",1.8224862985530834,[26.1867142   6.94472361],0.08747328898607681
1742176494.986066,"{'yellow': (82, 45), 'red': (73, 80)}","[277, 421]",1.8224862985530834,[18.97191651  6.84291733],0.004947138706708723
1742176495.0383823,"{'yellow': (85, 44), 'red': (74, 80)}","[279, 421]",1.8673421358645972,[25.29155822  4.53206711],0.29742527006926534
1742176495.1018467,"{'yellow': (84, 44), 'red': (72, 81)}","[280, 421]",1.884416979011595,[25.71487652  2.92127388],0.3682183057530263
1742176495.1638324,"{'yellow': (84, 44), 'red': (73, 81)}","[281, 421]",1.859771736787463,[23.86097824  1.96852677],0.11907597285488072
1742176495.224902,"{'yellow': (85, 45), 'red': (72, 81)}","[282, 422]",1.9173351912288386,[22.96421293  6.7928698 ],0.3452432934745942
1742176495.2871234,"{'yellow': (84, 45), 'red': (72, 80)}","[283, 422]",1.9010936816241504,[22.36896819  6.11503981],0.25389145761690257
1742176495.3387983,"{'yellow': (84, 46), 'red': (72, 80)}","[284, 423]",1.9100889412489412,[23.81028841 10.07072577],0.17933252532416694
1742176495.4017797,"{'yellow': (83, 44), 'red': (71, 80)}","[284, 423]",1.892546881191539,[17.07224147  8.44545279],0.04767156158806292
1742176495.464796,"{'yellow': (84, 44), 'red': (72, 80)}","[285, 423]",1.892546881191539,[16.73908572  5.36558117],0.007251410917596339
1742176495.527326,"{'yellow': (85, 45), 'red': (72, 80)}","[286, 423]",1.9264322110956564,[18.54753272  3.79672624],0.1914828705421467
1742176495.579086,"{'yellow': (84, 44), 'red': (71, 80)}","[286, 423]",1.9173351912288386,[14.78373782  2.78774525],0.1453394175032923
1742176495.6437585,"{'yellow': (86, 45), 'red': (73, 80)}","[288, 423]",1.9264322110956564,[20.3427993   1.88276369],0.11346653301503135
1742176495.7079115,"{'yellow': (87, 46), 'red': (70, 81)}","[289, 424]",2.0229501890806723,[22.38081061  6.59796532],0.6193777330539301
1742176495.7596176,"{'yellow': (85, 45), 'red': (70, 80)}","[289, 424]",1.97568811307998,[17.29952845  6.56305312],0.3535860363006965
1742176495.8230472,"{'yellow': (85, 45), 'red': (70, 80)}","[289, 424]",1.97568811307998,[11.15539248  3.86437161],0.12834021668032675
1742176495.8798022,"{'yellow': (86, 46), 'red': (70, 81)}","[290, 425]",1.999574354240913,[13.68844606  8.47478723],0.25000585895514144
1742176495.943727,"{'yellow': (86, 44), 'red': (70, 80)}","[291, 425]",1.9890206563741257,[16.2783557   7.33268742],0.15479349229064346
1742176496.0069652,"{'yellow': (85, 45), 'red': (69, 80)}","[291, 425]",1.999574354240913,[12.31951162  4.79391128],0.13586990963937856
1742176496.0590243,"{'yellow': (85, 45), 'red': (70, 80)}","[291, 425]",1.97568811307998,[8.23199677 3.47126174],-0.02953958026029197
1742176496.1206505,"{'yellow': (86, 47), 'red': (71, 81)}","[292, 427]",1.9862884227357873,[11.16389194 13.76417575],-0.00597120266892278
1742176496.18443,"{'yellow': (88, 46), 'red': (69, 79)}","[293, 427]",2.0931997585114255,[14.38127073 12.55106984],0.5984534354222227
1742176496.2468174,"{'yellow': (87, 46), 'red': (70, 79)}","[294, 427]",2.046491545649889,[16.64233869  7.85140155],0.322215313986493
1742176496.2988756,"{'yellow': (87, 47), 'red': (69, 80)}","[295, 428]",2.0701430484750265,[19.8006742  11.74050576],0.25168790725879675
1742176496.3629248,"{'yellow': (87, 46), 'red': (68, 79)}","[295, 428]",2.0931997585114255,[14.44923376  9.55557789],0.36259291235525803
1742176496.4255798,"{'yellow': (87, 45), 'red': (68, 79)}","[295, 428]",2.0803885916038225,[9.43402533 6.13002683],0.21205462035322825
1742176496.4880118,"{'yellow': (87, 45), 'red': (69, 79)}","[296, 428]",2.0576955586061656,[11.97298426  4.26465483],-0.0023481138664288304
1742176496.5403569,"{'yellow': (88, 46), 'red': (68, 80)}","[297, 429]",2.1025203940537023,[16.71188865  8.99668587],0.2239735291286286
1742176496.6024065,"{'yellow': (87, 47), 'red': (68, 79)}","[297, 430]",2.10660756475536,[12.34636255 13.15164381],0.2550231316482796
1742176496.6649628,"{'yellow': (88, 45), 'red': (68, 78)}","[298, 429]",2.1156602422464403,[13.34353854  4.44386747],0.20372220939285368
1742176496.7214544,"{'yellow': (86, 45), 'red': (66, 80)}","[297, 429]",2.0899424410414196,[5.25887121 0.87138872],-0.00580923617905655
1742176496.7861257,"{'yellow': (90, 47), 'red': (68, 80)}","[299, 430]",2.158798930342464,[12.37705685  6.49091175],0.33618101875264295
1742176496.839791,"{'yellow': (86, 47), 'red': (65, 79)}","[297, 431]",2.151552680362567,[ 1.20686195 12.53630073],0.3426148744179417
1742176496.9074764,"{'yellow': (87, 47), 'red': (67, 78)}","[297, 431]",2.143762469683603,[-2.93523018  9.30627032],0.14406926327053132
1742176496.960899,"{'yellow': (86, 47), 'red': (67, 79)}","[296, 432]",2.10660756475536,[-7.67587637 12.22508187],-0.1279101465423923
1742176497.0256908,"{'yellow': (88, 47), 'red': (69, 78)}","[297, 432]",2.1206495094714817,[-1.50497146  9.79436368],-0.0592614639630782
1742176497.0868185,"{'yellow': (89, 48), 'red': (67, 78)}","[298, 433]",2.20354516179708,[ 6.17144218 11.85067628],0.4449410314699854
1742176497.1406875,"{'yellow': (89, 49), 'red': (67, 78)}","[299, 434]",2.2197918857913974,[11.87258808 16.46060556],0.5737277159133931
1742176497.2031162,"{'yellow': (88, 49), 'red': (66, 77)}","[299, 435]",2.2367655641740063,[ 9.06026595 18.28658622],0.4719320525990608
1742176497.273036,"{'yellow': (88, 46), 'red': (65, 76)}","[298, 434]",2.224879051209257,[0.52286748 8.14450504],0.27719403431121636
1742176497.3318794,"{'yellow': (90, 48), 'red': (66, 78)}","[299, 435]",2.2455372690184494,[4.22592911 8.97335237],0.2792661102032892
1742176497.387874,"{'yellow': (89, 47), 'red': (65, 77)}","[299, 435]",2.2455372690184494,[5.62771877 8.3459656 ],0.24696978901707325
1742176497.4404676,"{'yellow': (87, 48), 'red': (65, 77)}","[298, 435]",2.2197918857913974,[-2.31925091  5.46755567],0.018867732272610932
1742176497.5048,"{'yellow': (90, 49), 'red': (66, 77)}","[299, 436]",2.279422598922567,[2.43078032 9.05283738],0.30648208284949524
1742176497.5701208,"{'yellow': (89, 49), 'red': (64, 77)}","[298, 437]",2.2996510532475276,[-2.13670755 12.93323136],0.4065126997950006
1742176497.6251092,"{'yellow': (90, 49), 'red': (65, 76)}","[298, 437]",2.317751900171157,[-4.11974645 10.62265778],0.40098095431903497
1742176497.687236,"{'yellow': (90, 50), 'red': (65, 76)}","[298, 438]",2.33658915933514,[-2.55657934 12.34584798],0.4000768289320923
1742176497.750566,"{'yellow': (90, 48), 'red': (65, 75)}","[298, 437]",2.317751900171157,[-1.7035459   4.61797596],0.19727564113326765
1742176497.8016107,"{'yellow': (90, 50), 'red': (65, 77)}","[298, 438]",2.317751900171157,[-1.18664209  7.12704122],0.10063042110364781
1742176497.8631501,"{'yellow': (91, 50), 'red': (65, 76)}","[299, 439]",2.356194490192345,[ 4.71167086 12.52952697],0.29847043838960585
1742176497.9243643,"{'yellow': (90, 50), 'red': (64, 75)}","[299, 439]",2.3757998210495495,[4.99978987 9.93902697],0.38105860920892376
1742176497.9848006,"{'yellow': (91, 51), 'red': (63, 75)}","[299, 440]",2.432966381462123,[ 3.26768466 12.04938478],0.6041672326475107
1742176498.0475004,"{'yellow': (89, 49), 'red': (63, 74)}","[298, 439]",2.3757998210495495,[-3.27290162  4.18357955],0.17312243898152174
1742176498.1079042,"{'yellow': (91, 51), 'red': (63, 76)}","[298, 440]",2.4127379271371625,[-3.74474719  6.29447571],0.20532018337547234
1742176498.1687684,"{'yellow': (92, 51), 'red': (64, 75)}","[299, 441]",2.432966381462123,[ 3.37722395 12.07474516],0.34146018826315194
1742176498.2312992,"{'yellow': (90, 50), 'red': (63, 74)}","[298, 441]",2.4149503129080676,[-1.59487868  9.50331642],0.15740502746919927
1742176498.284364,"{'yellow': (90, 50), 'red': (63, 74)}","[297, 441]",2.4149503129080676,[-9.65107545  6.48725502],0.06899622211991577
1742176498.3470883,"{'yellow': (92, 51), 'red': (64, 75)}","[298, 442]",2.432966381462123,[-2.13784196  9.8343432 ],0.15219203153618804
1742176498.4102178,"{'yellow': (91, 50), 'red': (62, 74)}","[297, 442]",2.450255724820331,[-5.11337962  8.29146612],0.2193163259744974
1742176498.4618182,"{'yellow': (90, 50), 'red': (62, 74)}","[296, 442]",2.432966381462123,[-12.22133046   5.6393589 ],0.07613834519442383
1742176498.5244923,"{'yellow': (91, 51), 'red': (63, 74)}","[296, 442]",2.453921397551064,[-9.22848168  3.76662239],0.12964667556426107
1742176498.586983,"{'yellow': (92, 51), 'red': (63, 75)}","[296, 443]",2.450255724820331,[-5.90820663  8.19316885],0.11624400142527168
1742176498.649224,"{'yellow': (91, 50), 'red': (62, 73)}","[295, 442]",2.471071095609244,[-9.78660072  1.57567926],0.17633257142524864
1742176498.7018654,"{'yellow': (92, 52), 'red': (63, 75)}","[295, 443]",2.471071095609244,[-9.1686907   4.58896516],0.1690276317598745
1742176498.7671797,"{'yellow': (92, 51), 'red': (63, 74)}","[295, 443]",2.471071095609244,[-5.51555621  5.00305776],0.10682242655781747
1742176498.833785,"{'yellow': (92, 52), 'red': (63, 74)}","[295, 444]",2.4925970945932923,[-3.67442267  8.36890831],0.18629848406265848
1742176498.8851714,"{'yellow': (92, 51), 'red': (62, 73)}","[295, 444]",2.5088438185876103,[-2.67044648  7.92321994],0.27119573931175206
1742176498.9490583,"{'yellow': (92, 50), 'red': (62, 73)}","[295, 443]",2.487509929175433,[-1.57138141 -0.58420784],0.07999362137347599
1742176499.0029273,"{'yellow': (93, 55), 'red': (61, 74)}","[295, 445]",2.6057814156293295,[-0.9164696   9.56186069],0.7183240054167952
1742176499.0666068,"{'yellow': (92, 52), 'red': (61, 73)}","[294, 445]",2.546182778111061,[-6.13508472  9.99683964],0.3420758500826717
1742176499.127246,"{'yellow': (92, 53), 'red': (61, 73)}","[293, 446]",2.5686265107010873,[-11.4377421   11.75219842],0.2211491094879957
1742176499.1871898,"{'yellow': (93, 52), 'red': (62, 72)}","[293, 446]",2.5686265107010873,[-9.23315753 10.04028831],0.2153008746280572
1742176499.2499278,"{'yellow': (92, 52), 'red': (61, 71)}","[292, 445]",2.5917394709132084,[-11.54953741   0.89904489],0.2716144877716483
1742176499.3026338,"{'yellow': (94, 53), 'red': (62, 73)}","[293, 446]",2.5829933382462307,[-4.44650005  4.60003899],0.18676402374711473
1742176499.3652241,"{'yellow': (93, 53), 'red': (61, 72)}","[293, 446]",2.6057814156293295,[-1.17812393  5.09970938],0.22521008407432339
1742176499.4271042,"{'yellow': (92, 53), 'red': (62, 72)}","[293, 446]",2.577023259921693,[-1.21849125  3.17676843],0.03054806781895359
1742176499.4879625,"{'yellow': (92, 54), 'red': (60, 72)}","[292, 447]",2.6292031932790554,[-6.36509343  7.67501754],0.2495570344610226
1742176499.5494275,"{'yellow': (93, 53), 'red': (60, 72)}","[291, 447]",2.6191892218732646,[-11.42869438   6.62248059],0.20168299702386
1742176499.6118495,"{'yellow': (94, 54), 'red': (61, 72)}","[291, 448]",2.642245931909663,[-8.81558455  9.62299509],0.23830649746847404
1742176499.6631577,"{'yellow': (94, 53), 'red': (61, 71)}","[291, 448]",2.642245931909663,[-5.90204568  9.05511958],0.22089182639134397
1742176499.7267907,"{'yellow': (94, 53), 'red': (61, 71)}","[291, 448]",2.642245931909663,[-4.08266342  5.75402992],0.13784177901034234
1742176499.7954462,"{'yellow': (94, 54), 'red': (60, 71)}","[291, 448]",2.677945044588987,[-2.85186863  4.05151333],0.28329965002541424
1742176499.8460317,"{'yellow': (92, 55), 'red': (60, 71)}","[290, 449]",2.677945044588987,[-8.16679945  8.7000064 ],0.278607103276842
1742176499.9061842,"{'yellow': (93, 54), 'red': (60, 70)}","[289, 449]",2.690139562037239,[-12.95694425   7.63779265],0.24378519226964798
1742176499.9701893,"{'yellow': (95, 54), 'red': (60, 70)}","[289, 449]",2.7128146261437767,[-9.87496698  4.71299073],0.3115260199931508
1742176500.031566,"{'yellow': (95, 54), 'red': (60, 69)}","[289, 448]",2.7367008673047097,[-6.27771366 -2.47894515],0.37670335209376166
